23:03:51.258 - 10002| REQUEST
23:03:51.259 - 10002| GRANT
23:03:51.260 - 10001| REQUEST
23:03:51.261 - 10003| REQUEST
23:03:51.262 - 10002| RELEASE
23:03:51.263 - 10001| GRANT
23:03:51.263 - 10004| REQUEST
23:03:51.265 - 10001| RELEASE
23:03:51.266 - 10003| GRANT
23:03:51.268 - 10003| RELEASE
23:03:51.284 - 10004| GRANT
23:03:51.286 - 10004| RELEASE
23:03:53.265 - 10002| REQUEST
23:03:53.266 - 10002| GRANT
23:03:53.268 - 10001| REQUEST
23:03:53.269 - 10003| REQUEST
23:03:53.269 - 10002| RELEASE
23:03:53.270 - 10001| GRANT
23:03:53.273 - 10001| RELEASE
23:03:53.274 - 10003| GRANT
23:03:53.277 - 10003| RELEASE
23:03:53.309 - 10004| REQUEST
23:03:53.309 - 10004| GRANT
23:03:53.311 - 10004| RELEASE
23:03:55.270 - 10002| REQUEST
23:03:55.270 - 10002| GRANT
23:03:55.272 - 10002| RELEASE
23:03:55.277 - 10001| REQUEST
23:03:55.278 - 10001| GRANT
23:03:55.280 - 10001| RELEASE
23:03:55.282 - 10003| REQUEST
23:03:55.282 - 10003| GRANT
23:03:55.284 - 10003| RELEASE
23:03:55.313 - 10004| REQUEST
23:03:55.314 - 10004| GRANT
23:03:55.316 - 10004| RELEASE
23:03:57.274 - 10002| REQUEST
23:03:57.274 - 10002| GRANT
23:03:57.276 - 10002| RELEASE
23:03:57.281 - 10001| REQUEST
23:03:57.282 - 10001| GRANT
23:03:57.284 - 10001| RELEASE
23:03:57.284 - 10003| REQUEST
23:03:57.285 - 10003| GRANT
23:03:57.287 - 10003| RELEASE
23:03:57.317 - 10004| REQUEST
23:03:57.317 - 10004| GRANT
23:03:57.319 - 10004| RELEASE
23:03:59.280 - 10002| REQUEST
23:03:59.281 - 10002| GRANT
23:03:59.284 - 10002| RELEASE
23:03:59.288 - 10001| REQUEST
23:03:59.289 - 10001| GRANT
23:03:59.291 - 10003| REQUEST
23:03:59.292 - 10001| RELEASE
23:03:59.293 - 10003| GRANT
23:03:59.296 - 10003| RELEASE
23:03:59.320 - 10004| REQUEST
23:03:59.320 - 10004| GRANT
23:03:59.323 - 10004| RELEASE
23:04:01.287 - 10002| REQUEST
23:04:01.288 - 10002| GRANT
23:04:01.289 - 10002| RELEASE
23:04:01.293 - 10001| REQUEST
23:04:01.293 - 10001| GRANT
23:04:01.295 - 10001| RELEASE
23:04:01.301 - 10003| REQUEST
23:04:01.301 - 10003| GRANT
23:04:01.303 - 10003| RELEASE
23:04:01.325 - 10004| REQUEST
23:04:01.326 - 10004| GRANT
23:04:01.328 - 10004| RELEASE
23:04:03.291 - 10002| REQUEST
23:04:03.291 - 10002| GRANT
23:04:03.293 - 10002| RELEASE
23:04:03.299 - 10001| REQUEST
23:04:03.300 - 10001| GRANT
23:04:03.302 - 10001| RELEASE
23:04:03.304 - 10003| REQUEST
23:04:03.305 - 10003| GRANT
23:04:03.307 - 10003| RELEASE
23:04:03.328 - 10004| REQUEST
23:04:03.329 - 10004| GRANT
23:04:03.330 - 10004| RELEASE
23:04:05.296 - 10002| REQUEST
23:04:05.297 - 10002| GRANT
23:04:05.301 - 10002| RELEASE
23:04:05.303 - 10001| REQUEST
23:04:05.304 - 10001| GRANT
23:04:05.307 - 10001| RELEASE
23:04:05.331 - 10003| REQUEST
23:04:05.331 - 10003| GRANT
23:04:05.333 - 10003| RELEASE
23:04:05.333 - 10004| REQUEST
23:04:05.334 - 10004| GRANT
23:04:05.336 - 10004| RELEASE
23:04:07.304 - 10002| REQUEST
23:04:07.304 - 10002| GRANT
23:04:07.308 - 10001| REQUEST
23:04:07.309 - 10002| RELEASE
23:04:07.310 - 10001| GRANT
23:04:07.313 - 10001| RELEASE
23:04:07.335 - 10003| REQUEST
23:04:07.336 - 10003| GRANT
23:04:07.336 - 10004| REQUEST
23:04:07.338 - 10003| RELEASE
23:04:07.338 - 10004| GRANT
23:04:07.340 - 10004| RELEASE
23:04:09.311 - 10002| REQUEST
23:04:09.311 - 10002| GRANT
23:04:09.313 - 10002| RELEASE
23:04:09.315 - 10001| REQUEST
23:04:09.315 - 10001| GRANT
23:04:09.316 - 10001| RELEASE
23:04:09.338 - 10003| REQUEST
23:04:09.338 - 10003| GRANT
23:04:09.340 - 10003| RELEASE
23:04:09.340 - 10004| REQUEST
23:04:09.340 - 10004| GRANT
23:04:09.342 - 10004| RELEASE
